Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,Equity,"8,891,533.40",0.01,"8,891,533.40","58,145.00",152.92,United States,New York Stock Exchange Inc.,USD,1,--
CACC,CREDIT ACCEPTANCE CORP,Financials,Equity,"8,570,121.60",0.01,"8,570,121.60","17,340.00",494.24,United States,NASDAQ,USD,1,--
BWXT,BWX TECHNOLOGIES INC,Industrials,Equity,"8,566,781.95",0.01,"8,566,781.95","65,671.00",130.45,United States,New York Stock Exchange Inc.,USD,1,--
TTEK,TETRA TECH INC,Industrials,Equity,"8,389,837.17",0.01,"8,389,837.17","202,311.00",41.47,United States,NASDAQ,USD,1,--
AWI,ARMSTRONG WORLD INDUSTRIES INC,Industrials,Equity,"8,286,257.96",0.01,"8,286,257.96","51,718.00",160.22,United States,New York Stock Exchange Inc.,USD,1,--
BROS,DUTCH BROS INC CLASS A,Consumer Discretionary,Equity,"8,155,389.15",0.01,"8,155,389.15","153,441.00",53.15,United States,New York Stock Exchange Inc.,USD,1,--
BILL,BILL HOLDINGS INC,Information Technology,Equity,"8,090,072.40",0.01,"8,090,072.40","90,120.00",89.77,United States,New York Stock Exchange Inc.,USD,1,--
LBRDK,LIBERTY BROADBAND CORP SERIES C,Communication,Equity,"8,062,677.76",0.01,"8,062,677.76","95,552.00",84.38,United States,NASDAQ,USD,1,--
FRPT,FRESHPET INC,Consumer Staples,Equity,"8,039,123.64",0.01,"8,039,123.64","52,461.00",153.24,United States,NASDAQ,USD,1,--
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Equity,"7,835,643.13",0.01,"7,835,643.13","502,607.00",15.59,United States,New York Stock Exchange Inc.,USD,1,--
NCNO,NCINO INC,Information Technology,Equity,"7,556,617.80",0.01,"7,556,617.80","180,435.00",41.88,United States,NASDAQ,USD,1,--
NXST,NEXSTAR MEDIA GROUP INC,Communication,Equity,"7,369,547.85",0.01,"7,369,547.85","43,059.00",171.15,United States,NASDAQ,USD,1,--
WSC,WILLSCOT HOLDINGS CORP CLASS A,Industrials,Equity,"7,325,223.90",0.01,"7,325,223.90","191,810.00",38.19,United States,NASDAQ,USD,1,--
MLM,MARTIN MARIETTA MATERIALS INC,Materials,Equity,"7,243,091.60",0.01,"7,243,091.60","12,161.00",595.6,United States,New York Stock Exchange Inc.,USD,1,--
DBX,DROPBOX INC CLASS A,Information Technology,Equity,"7,224,168.00",0.01,"7,224,168.00","258,006.00",28,United States,NASDAQ,USD,1,--
AM,ANTERO MIDSTREAM CORP,Energy,Equity,"7,204,554.00",0.01,"7,204,554.00","457,432.00",15.75,United States,New York Stock Exchange Inc.,USD,1,--
CE,CELANESE CORP,Materials,Equity,"7,175,729.29",0.01,"7,175,729.29","98,419.00",72.91,United States,New York Stock Exchange Inc.,USD,1,--
ONTO,ONTO INNOVATION INC,Information Technology,Equity,"7,153,557.84",0.01,"7,153,557.84","44,421.00",161.04,United States,New York Stock Exchange Inc.,USD,1,--
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,"7,136,153.50",0.01,"7,136,153.50","38,626.00",184.75,United States,New York Stock Exchange Inc.,USD,1,--
PFGC,PERFORMANCE FOOD GROUP,Consumer Staples,Equity,"6,785,509.17",0.01,"6,785,509.17","77,187.00",87.91,United States,New York Stock Exchange Inc.,USD,1,--
CLF,CLEVELAND CLIFFS INC,Materials,Equity,"6,789,914.14",0.01,"6,789,914.14","559,301.00",12.14,United States,New York Stock Exchange Inc.,USD,1,--
DV,DOUBLEVERIFY HOLDINGS INC,Information Technology,Equity,"5,877,018.95",0.01,"5,877,018.95","288,797.00",20.35,United States,New York Stock Exchange Inc.,USD,1,--
EQT,EQT CORP,Energy,Equity,"5,884,996.32",0.01,"5,884,996.32","129,969.00",45.28,United States,New York Stock Exchange Inc.,USD,1,--
VNOM,VIPER ENERGY INC CLASS A,Energy,Equity,"5,672,546.16",0.01,"5,672,546.16","105,164.00",53.94,United States,NASDAQ,USD,1,--
HRB,H&R BLOCK INC,Consumer Discretionary,Equity,"5,674,202.54",0.01,"5,674,202.54","95,638.00",59.33,United States,New York Stock Exchange Inc.,USD,1,--
WEN,WENDYS,Consumer Discretionary,Equity,"5,556,850.52",0.01,"5,556,850.52","299,884.00",18.53,United States,NASDAQ,USD,1,--
LOPE,GRAND CANYON EDUCATION INC,Consumer Discretionary,Equity,"5,502,832.47",0.01,"5,502,832.47","33,393.00",164.79,United States,NASDAQ,USD,1,--
TKO,TKO GROUP HOLDINGS INC CLASS A,Communication,Equity,"5,282,247.99",0.01,"5,282,247.99","38,219.00",138.21,United States,New York Stock Exchange Inc.,USD,1,--
ALLY,ALLY FINANCIAL INC,Financials,Equity,"5,209,086.41",0.01,"5,209,086.41","131,909.00",39.49,United States,New York Stock Exchange Inc.,USD,1,--
TPG,TPG INC CLASS A,Financials,Equity,"5,174,526.63",0.01,"5,174,526.63","74,123.00",69.81,United States,NASDAQ,USD,1,--
CIVI,CIVITAS RESOURCES INC,Energy,Equity,"4,995,420.85",0,"4,995,420.85","97,055.00",51.47,United States,New York Stock Exchange Inc.,USD,1,--
SN,SHARKNINJA INC,Consumer Discretionary,Equity,"4,539,268.02",0,"4,539,268.02","46,286.00",98.07,United States,New York Stock Exchange Inc.,USD,1,--
ROKU,ROKU INC CLASS A,Communication,Equity,"4,533,523.05",0,"4,533,523.05","66,955.00",67.71,United States,NASDAQ,USD,1,--
DAY,DAYFORCE INC,Industrials,Equity,"4,430,229.16",0,"4,430,229.16","55,468.00",79.87,United States,New York Stock Exchange Inc.,USD,1,--
S,SENTINELONE INC CLASS A,Information Technology,Equity,"4,416,675.12",0,"4,416,675.12","157,289.00",28.08,United States,New York Stock Exchange Inc.,USD,1,--
JBL,JABIL INC,Information Technology,Equity,"4,243,760.57",0,"4,243,760.57","31,829.00",133.33,United States,New York Stock Exchange Inc.,USD,1,--
RGEN,REPLIGEN CORP,Health Care,Equity,"4,227,468.15",0,"4,227,468.15","28,185.00",149.99,United States,NASDAQ,USD,1,--
RH,RH,Consumer Discretionary,Equity,"4,009,013.76",0,"4,009,013.76","10,371.00",386.56,United States,New York Stock Exchange Inc.,USD,1,--
CROX,CROCS INC,Consumer Discretionary,Equity,"3,995,904.00",0,"3,995,904.00","37,840.00",105.6,United States,NASDAQ,USD,1,--
TRU,TRANSUNION,Industrials,Equity,"3,951,928.00",0,"3,951,928.00","39,128.00",101,United States,New York Stock Exchange Inc.,USD,1,--
DKS,DICKS SPORTING INC,Consumer Discretionary,Equity,"3,901,217.94",0,"3,901,217.94","18,259.00",213.66,United States,New York Stock Exchange Inc.,USD,1,--
DJT,TRUMP MEDIA TECHNOLOGY GROUP CORP,Communication,Equity,"3,882,348.04",0,"3,882,348.04","127,541.00",30.44,United States,NASDAQ,USD,1,--
TXG,10X GENOMICS INC CLASS A,Health Care,Equity,"3,814,194.60",0,"3,814,194.60","246,395.00",15.48,United States,NASDAQ,USD,1,--
VRSN,VERISIGN INC,Information Technology,Equity,"3,814,203.52",0,"3,814,203.52","19,904.00",191.63,United States,NASDAQ,USD,1,--
YETI,YETI HOLDINGS INC,Consumer Discretionary,Equity,"3,617,238.03",0,"3,617,238.03","89,691.00",40.33,United States,New York Stock Exchange Inc.,USD,1,--
BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS I,Consumer Discretionary,Equity,"3,518,121.50",0,"3,518,121.50","30,526.00",115.25,United States,New York Stock Exchange Inc.,USD,1,--
H,HYATT HOTELS CORP CLASS A,Consumer Discretionary,Equity,"3,505,918.38",0,"3,505,918.38","22,458.00",156.11,United States,New York Stock Exchange Inc.,USD,1,--
BLD,TOPBUILD CORP,Consumer Discretionary,Equity,"3,489,720.00",0,"3,489,720.00","8,948.00",390,United States,New York Stock Exchange Inc.,USD,1,--
